ENSG00000223972.5	DDX11L1
ENSG00000227232.5	WASH7P
ENSG00000268020.3	OR4G4P
ENSG00000240361.2	OR4G11P
ENSG00000186092.6	OR4F5
ENSG00000233750.3	CICP27
ENSG00000268903.1	AL627309.6
ENSG00000269981.1	AL627309.7
ENSG00000279928.2	FO538757.1
ENSG00000279457.4	WASH9P
ENSG00000228463.10	AP006222.1
ENSG00000236679.2	RPL23AP24
ENSG00000237094.12	AL732372.2
ENSG00000269732.1	WBP1LP7
ENSG00000233653.3	CICP7
ENSG00000250575.1	AL732372.3
ENSG00000230021.10	AL669831.3
ENSG00000225972.1	MTND1P23
ENSG00000225630.1	MTND2P28
ENSG00000237973.1	MTCO1P12
ENSG00000229344.1	MTCO2P12
ENSG00000240409.1	MTATP8P1
ENSG00000248527.1	MTATP6P1
ENSG00000198744.5	MTCO3P12
ENSG00000268663.1	WBP1LP6
ENSG00000229376.3	CICP3
ENSG00000228327.3	AL669831.1
ENSG00000285268.1	AL669831.6
ENSG00000230092.7	AL669831.4
ENSG00000234711.1	TUBB8P11
ENSG00000283040.1	AL669831.5
ENSG00000187634.12	SAMD11
ENSG00000188976.11	NOC2L
ENSG00000187961.14	KLHL17
ENSG00000187583.11	PLEKHN1
ENSG00000187642.9	PERM1
ENSG00000188290.10	HES4
ENSG00000187608.10	ISG15
ENSG00000231702.2	AL645608.3
ENSG00000188157.15	AGRN
ENSG00000217801.10	AL390719.1
ENSG00000237330.3	RNF223
ENSG00000131591.17	C1orf159
ENSG00000162571.13	TTLL10
ENSG00000186891.14	TNFRSF18
ENSG00000186827.11	TNFRSF4
ENSG00000078808.17	SDF4
ENSG00000176022.7	B3GALT6
ENSG00000184163.3	C1QTNF12
ENSG00000160087.20	UBE2J2
ENSG00000162572.21	SCNN1D
ENSG00000131584.19	ACAP3
ENSG00000169972.12	PUSL1
ENSG00000127054.20	INTS11
ENSG00000224051.7	CPTP
ENSG00000169962.5	TAS1R3
ENSG00000107404.20	DVL1
ENSG00000162576.16	MXRA8
ENSG00000175756.13	AURKAIP1
ENSG00000223663.2	NDUFB4P8
ENSG00000221978.12	CCNL2
ENSG00000242485.6	MRPL20
ENSG00000235098.8	ANKRD65
ENSG00000179403.12	VWA1
ENSG00000215915.10	ATAD3C
ENSG00000160072.20	ATAD3B
ENSG00000284740.1	AL645728.2
ENSG00000197785.14	ATAD3A
ENSG00000205090.9	TMEM240
ENSG00000160075.12	SSU72
ENSG00000274481.1	AL691432.3
ENSG00000228594.4	FNDC10
ENSG00000197530.12	MIB2
ENSG00000189409.14	MMP23B
ENSG00000248333.8	CDK11B
ENSG00000189339.12	SLC35E2B
ENSG00000269737.2	AL691432.1
ENSG00000215914.4	MMP23A
ENSG00000008128.23	CDK11A
ENSG00000227775.3	AL031282.1
ENSG00000215790.7	SLC35E2A
ENSG00000008130.15	NADK
ENSG00000078369.18	GNB1
ENSG00000169885.10	CALML6
ENSG00000178821.13	TMEM52
ENSG00000142609.18	CFAP74
ENSG00000187730.9	GABRD
ENSG00000067606.17	PRKCZ
ENSG00000162585.17	FAAP20
ENSG00000157933.10	SKI
ENSG00000116151.14	MORN1
ENSG00000269896.2	AL513477.1
ENSG00000157916.20	RER1
ENSG00000157911.10	PEX10
ENSG00000149527.18	PLCH2
ENSG00000157881.15	PANK4
ENSG00000197921.6	HES5
ENSG00000157873.17	TNFRSF14
ENSG00000157870.16	PRXL2B
ENSG00000142606.16	MMEL1
ENSG00000215912.12	TTC34
ENSG00000169717.7	ACTRT2
ENSG00000142611.17	PRDM16
ENSG00000130762.15	ARHGEF16
ENSG00000162591.16	MEGF6
ENSG00000158109.15	TPRG1L
ENSG00000116213.16	WRAP73
ENSG00000078900.15	TP73
ENSG00000227372.12	TP73-AS1
ENSG00000162592.10	CCDC27
ENSG00000235169.8	SMIM1
ENSG00000130764.10	LRRC47
ENSG00000116198.13	CEP104
ENSG00000169598.15	DFFB
ENSG00000198912.11	C1orf174
ENSG00000229280.1	EEF1DP6
ENSG00000196581.11	AJAP1
ENSG00000283356.1	Z97988.2
ENSG00000131697.18	NPHP4
ENSG00000069424.15	KCNAB2
ENSG00000116254.18	CHD5
ENSG00000285629.1	AL031847.2
ENSG00000116251.11	RPL22
ENSG00000158286.13	RNF207
ENSG00000116237.16	ICMT
ENSG00000173673.8	HES3
ENSG00000158292.7	GPR153
ENSG00000097021.19	ACOT7
ENSG00000069812.11	HES2
ENSG00000187017.17	ESPN
ENSG00000215788.10	TNFRSF25
ENSG00000171680.22	PLEKHG5
ENSG00000162408.11	NOL9
ENSG00000229519.2	AL591866.1
ENSG00000173662.21	TAS1R1
ENSG00000204859.13	ZBTB48
ENSG00000162413.16	KLHL21
ENSG00000116273.6	PHF13
ENSG00000041988.15	THAP3
ENSG00000007923.16	DNAJC11
ENSG00000171735.19	CAMTA1
ENSG00000227950.1	AL590128.1
ENSG00000049245.13	VAMP3
ENSG00000049246.14	PER3
ENSG00000049247.13	UTS2
ENSG00000049249.8	TNFRSF9
ENSG00000270330.1	AL009183.1
ENSG00000116288.13	PARK7
ENSG00000116285.13	ERRFI1
ENSG00000232848.1	AL034417.1
ENSG00000229305.1	AL358876.1
ENSG00000162426.14	SLC45A1
ENSG00000142599.19	RERE
ENSG00000270282.1	AL096855.2
ENSG00000234619.1	RPL7P11
ENSG00000224315.2	RPL7P7
ENSG00000226545.1	AL357552.1
ENSG00000229716.2	RPL23AP19
ENSG00000074800.16	ENO1
ENSG00000238249.2	HMGN2P17
ENSG00000232208.2	AL139415.1
ENSG00000232663.2	AL139415.2
ENSG00000131686.15	CA6
ENSG00000142583.18	SLC2A5
ENSG00000180758.12	GPR157
ENSG00000049239.12	H6PD
ENSG00000171621.14	SPSB1
ENSG00000252956.1	RNA5SP40
ENSG00000171612.7	SLC25A33
ENSG00000231181.1	AL954705.1
ENSG00000188807.13	TMEM201
ENSG00000171608.16	PIK3CD
ENSG00000233268.3	AL691449.1
ENSG00000171603.17	CLSTN1
ENSG00000271264.1	MZT1P1
ENSG00000178585.15	CTNNBIP1
ENSG00000162441.12	LZIC
ENSG00000173614.14	NMNAT1
ENSG00000283611.2	TMEM274P
ENSG00000162444.12	RBP7
ENSG00000130939.20	UBE4B
ENSG00000224340.1	AL590639.1
ENSG00000233623.2	PGAM1P11
ENSG00000054523.17	KIF1B
ENSG00000142657.21	PGD
ENSG00000251503.8	CENPS-CORT
ENSG00000175279.22	CENPS
ENSG00000160049.12	DFFA
ENSG00000142655.13	PEX14
ENSG00000130940.15	CASZ1
ENSG00000225158.2	HSPE1P24
ENSG00000175262.14	C1orf127
ENSG00000215785.2	CFL1P6
ENSG00000120948.17	TARDBP
ENSG00000277726.4	AL109811.3
ENSG00000009724.17	MASP2
ENSG00000271895.2	AL109811.2
ENSG00000116649.10	SRM
ENSG00000171824.14	EXOSC10
ENSG00000198793.13	MTOR
ENSG00000171819.5	ANGPTL7
ENSG00000238173.1	RPL39P6
ENSG00000120942.13	UBIAD1
ENSG00000238199.1	UBE2V2P3
ENSG00000224338.2	MTCYBP45
ENSG00000204624.8	DISP3
ENSG00000116661.11	FBXO2
ENSG00000132879.14	FBXO44
ENSG00000116663.11	FBXO6
ENSG00000116670.15	MAD2L2
ENSG00000162490.7	DRAXIN
ENSG00000177674.16	AGTRAP
ENSG00000215910.7	C1orf167
ENSG00000177000.12	MTHFR
ENSG00000011021.23	CLCN6
ENSG00000175206.10	NPPA
ENSG00000120937.9	NPPB
ENSG00000224904.1	AL021155.1
ENSG00000116685.16	KIAA2013
ENSG00000083444.17	PLOD1
